label	Assembly Accession	Organism Name	Assembly Release Date
xanthomonas_euvesicatoria	GCF_017724035.1	Xanthomonas euvesicatoria pv. alfalfae	2021-04-03
streptococcus_pyogenes	GCF_900475035.1	Streptococcus pyogenes	2018-06-17
corynebacterium_glutamicum	GCF_000404185.1	Corynebacterium glutamicum SCgG2	2013-06-03
vibrio_parahaemolyticus	GCF_000196095.1	Vibrio parahaemolyticus RIMD 2210633	2004-05-11
mycobacteroides_chelonae	GCF_001632805.1	Mycobacteroides chelonae CCUG 47445	2016-04-27
cronobacter_sakazakii	GCF_003516125.1	Cronobacter sakazakii	2020-03-18
serratia_ficaria	GCF_900187015.1	Serratia ficaria	2017-08-15
pandoraea_oxalativorans	GCF_000972785.3	Pandoraea oxalativorans	2016-06-15
staphylococcus_epidermidis	GCF_006094375.1	Staphylococcus epidermidis	2019-06-06
clostridium_perfringens	GCF_020138775.1	Clostridium perfringens	2021-09-24
staphylococcus_aureus	GCF_000013425.1	Staphylococcus aureus subsp. aureus NCTC 8325	2006-02-13
bacillus_subtilis	GCF_000009045.1	Bacillus subtilis subsp. subtilis str. 168	2009-03-17
elizabethkingia_meningoseptica	GCF_002022145.1	Elizabethkingia meningoseptica	2017-03-06
vibrio_diabolicus	GCF_011801455.1	Vibrio diabolicus	2020-03-31
pseudomonas_fuscovaginae	GCF_900108595.1	Pseudomonas fuscovaginae	2016-10-27
pantoea_ananatis	GCF_000233595.1	Pantoea ananatis PA13	2011-11-01
pseudomonas_parafulva	GCF_000730645.1	Pseudomonas parafulva NBRC 16636 = DSM 17004	2014-07-10
staphylococcus_schleiferi	GCF_902374935.1	Staphylococcus schleiferi	2019-08-22
haemophilus_influenzae	GCF_000931575.1	Haemophilus influenzae	2015-02-23
acinetobacter_radioresistens	GCF_003258335.1	Acinetobacter radioresistens	2018-06-20
bacillus_anthracis	GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	2004-07-09
cronobacter_muytjensii	GCF_001277195.1	Cronobacter muytjensii ATCC 51329	2015-09-01
clostridium_botulinum	GCF_000063585.1	Clostridium botulinum A str. ATCC 3502	2007-05-24
salmonella_enterica	GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	2016-01-13
staphylococcus_capitis	GCF_025272815.1	Staphylococcus capitis subsp. capitis	2022-09-19
erysipelothrix_rhusiopathiae	GCF_000270085.1	Erysipelothrix rhusiopathiae str. Fujisawa	2011-05-30
plesiomonas_shigelloides	GCF_020991025.1	Plesiomonas shigelloides	2021-11-28
raoultella_ornithinolytica	GCF_901421005.1	Raoultella ornithinolytica	2019-06-02
pandoraea_norimbergensis	GCF_001465545.3	Pandoraea norimbergensis	2016-10-20
flavobacterium_psychrophilum	GCF_013343195.2	Flavobacterium psychrophilum	2020-07-23
mycobacterium_avium	GCF_022175585.2	Mycobacterium avium subsp. hominissuis	2024-05-08
cronobacter_malonaticus	GCF_001277215.2	Cronobacter malonaticus LMG 23826	2016-01-13
mycobacterium_kansasii	GCF_000157895.3	Mycobacterium kansasii ATCC 12478	2013-11-01
enterococcus_faecium	GCF_009734005.1	Enterococcus faecium	2020-02-05
cronobacter_universalis	GCF_001277175.1	Cronobacter universalis NCTC 9529	2015-09-01
aeromonas_caviae	GCF_014169735.1	Aeromonas caviae	2020-07-21
