path_fcgr	label	sample_id	tarfile	pred	prob	true_positive
data/fcgr/6mer/dustbin__02/SAMN05216568.npy	[clostridium]_bolteae	SAMN05216568	dustbin__02	[clostridium]_bolteae	0.7158718109130859	True
data/fcgr/6mer/dustbin__01/SAMN02440585.npy	[clostridium]_saccharolyticum	SAMN02440585	dustbin__01	[clostridium]_saccharolyticum	0.28058016300201416	True
data/fcgr/6mer/dustbin__03/SAMN06342376.npy	[clostridium]_sphenoides	SAMN06342376	dustbin__03	[clostridium]_sphenoides	0.9985007047653198	True
data/fcgr/6mer/dustbin__12/SAMN02745784.npy	[clostridium]_ultunense	SAMN02745784	dustbin__12	[clostridium]_ultunense	0.505474865436554	True
data/fcgr/6mer/dustbin__21/SAMN00776233.npy	[enterobacter]_lignolyticus	SAMN00776233	dustbin__21	[enterobacter]_lignolyticus	0.9265501499176025	True
data/fcgr/6mer/dustbin__15/SAMEA3545350.npy	[eubacterium]_eligens	SAMEA3545350	dustbin__15	[eubacterium]_eligens	0.8581355810165405	True
data/fcgr/6mer/eubacterium_hallii__01/SAMEA3545420.npy	[eubacterium]_hallii	SAMEA3545420	eubacterium_hallii__01	[eubacterium]_hallii	0.9388564229011536	True
data/fcgr/6mer/dustbin__20/SAMEA3545348.npy	[eubacterium]_rectale	SAMEA3545348	dustbin__20	[eubacterium]_rectale	0.47139373421669006	True
data/fcgr/6mer/dustbin__10/SAMEA44043418.npy	[eubacterium]_sulci	SAMEA44043418	dustbin__10	[eubacterium]_sulci	0.7884189486503601	True
data/fcgr/6mer/dustbin__19/SAMN09808969.npy	[haemophilus]_ducreyi	SAMN09808969	dustbin__19	[haemophilus]_ducreyi	0.9846588373184204	True
data/fcgr/6mer/dustbin__21/SAMN02910354.npy	[mannheimia]_succiniciproducens	SAMN02910354	dustbin__21	[mannheimia]_succiniciproducens	0.6914269924163818	True
data/fcgr/6mer/dustbin__12/SAMN06229904.npy	acetoanaerobium_sticklandii	SAMN06229904	dustbin__12	acetoanaerobium_sticklandii	0.46598562598228455	True
data/fcgr/6mer/dustbin__21/SAMN04515661.npy	acetohalobium_arabaticum	SAMN04515661	dustbin__21	acetohalobium_arabaticum	0.9293528199195862	True
data/fcgr/6mer/dustbin__12/SAMN06453973.npy	acetomicrobium_mobile	SAMN06453973	dustbin__12	acetomicrobium_mobile	0.9972259402275085	True
data/fcgr/6mer/dustbin__06/SAMD00003842.npy	achromobacter_denitrificans	SAMD00003842	dustbin__06	achromobacter_denitrificans	0.9274184107780457	True
data/fcgr/6mer/dustbin__09/SAMN08472357.npy	achromobacter_spanius	SAMN08472357	dustbin__09	achromobacter_spanius	0.8969861268997192	True
data/fcgr/6mer/dustbin__18/SAMN04875581.npy	achromobacter_xylosoxidans	SAMN04875581	dustbin__18	achromobacter_xylosoxidans	0.9171985387802124	True
data/fcgr/6mer/dustbin__02/SAMN02910455.npy	acidaminococcus_fermentans	SAMN02910455	dustbin__02	acidaminococcus_fermentans	0.6897837519645691	True
data/fcgr/6mer/dustbin__06/SAMN01779560.npy	acidaminococcus_intestini	SAMN01779560	dustbin__06	acidaminococcus_intestini	0.674869179725647	True
data/fcgr/6mer/dustbin__15/SAMN08776253.npy	acidipropionibacterium_acidipropionici	SAMN08776253	dustbin__15	acidipropionibacterium_acidipropionici	0.2694995701313019	True
data/fcgr/6mer/dustbin__21/SAMN00713557.npy	acidithiobacillus_ferrivorans	SAMN00713557	dustbin__21	acidithiobacillus_ferrivorans	0.91561359167099	True
data/fcgr/6mer/dustbin__04/SAMN05714660.npy	acidovorax_avenae	SAMN05714660	dustbin__04	acidovorax_avenae	0.9707431197166443	True
data/fcgr/6mer/dustbin__05/SAMN02584928.npy	acidovorax_carolinensis	SAMN02584928	dustbin__05	acidovorax_carolinensis	0.8154909610748291	True
data/fcgr/6mer/dustbin__03/SAMN09685316.npy	acidovorax_sp._kks102	SAMN09685316	dustbin__03	acidovorax_sp._kks102	0.9868473410606384	True
